ADDRESS,form_address,lat,long
"4100 GUADALUPE ST, Austin, TX","4100 Guadalupe St, Austin, TX 78751, USA",30.3063914,-97.73584849999999
"1000 NORWOOD PARK BLVD, Austin, TX","1000 Norwood Park Blvd, Austin, TX 78752, USA",30.3392175,-97.6929571
"3600 PRESIDENTIAL BLVD, Austin, TX","3600 Presidential Blvd, Austin, TX 78719, USA",30.2022114,-97.66787219999999
"400 E 6TH ST, Austin, TX","400 E 6th St, Austin, TX 78701, USA",30.2673915,-97.7390604
"700 E 8TH ST, Austin, TX","700 E 8th St, Austin, TX 78701, USA",30.2681613,-97.7347532
"2500 E RIVERSIDE DR, Austin, TX","2500 E Riverside Dr, Austin, TX 78741, USA",30.2353729,-97.7235781
"300 E 6TH ST, Austin, TX","300 E 6th St, Austin, TX 78701, USA",30.2675403,-97.74015899999999
"2900 S CAPITAL OF TEXAS HWY NB, Austin, TX","S Capital of Texas Hwy, Austin, TX, USA",30.2689789,-97.81788429999999
"9300 S IH 35 SVRD SB, Austin, TX","9300 S Interstate 35 Ste B, Austin, TX 78748, USA",30.1651994,-97.7904318
"500 E 7TH ST, Austin, TX","500 E 7th St, Austin, TX 78701, USA",30.2678638,-97.7375115
"9400 N LAMAR BLVD, Austin, TX","9400 N Lamar Blvd, Austin, TX 78753, USA",30.36338439999999,-97.6968414
"1000 E 41ST ST, Austin, TX","1000 E 41st St, Austin, TX 78751, USA",30.2998354,-97.7199409
"1100 AIRPORT BLVD, Austin, TX","1100 Airport Blvd, Austin, TX 78702, USA",30.2656226,-97.69584139999999
"12900 N IH 35 SVRD SB, Austin, TX","Svc Rd Sb, 12900 N Interstate Hwy 35, Austin, TX 78753, United States",30.4134351,-97.67630779999999
"600 E 15TH ST, Austin, TX","600 E 15th St, Austin, TX 78701, USA",30.2754248,-97.7339396
"700 E BEN WHITE BLVD SVRD WB, Austin, TX","E Ben White Blvd, Austin, TX, USA",30.2137755,-97.7203996
"200 E 6TH ST, Austin, TX","200 E 6th St, Austin, TX 78701, USA",30.2678743,-97.7411186
"11200 LAKELINE MALL DR, Austin, TX","11200 Lakeline Mall Dr, Cedar Park, TX 78613, USA",30.470003,-97.8070338
"1500 WICKERSHAM LN, Austin, TX","1500 Wickersham Ln, Austin, TX 78741, USA",30.2366991,-97.71773809999999
"3100 E SH 71 EB, Austin, TX","TX-71, Texas, USA",30.2269169,-97.7697774
"1300 CROSSING PL, Austin, TX","1300 Crossing Pl, Austin, TX 78741, USA",30.238131,-97.7133667
"2400 E RIVERSIDE DR, Austin, TX","2400 E Riverside Dr, Austin, TX 78741, USA",30.2365803,-97.7238904
"800 SPRINGDALE RD, Austin, TX","800 Springdale Rd, Austin, TX 78702, USA",30.2585196,-97.7000802
"500 N LAMAR BLVD, Austin, TX","500 N Lamar Blvd, Austin, TX 78703, USA",30.2707086,-97.75494359999999
"2500 W ANDERSON LN, Austin, TX","2500 W Anderson Ln, Austin, TX 78757, USA",30.3573551,-97.7333858
"1100 RUTLAND DR, Austin, TX","1100 Rutland Dr, Austin, TX 78758, USA",30.368718,-97.701427
"1200 BARBARA JORDAN BLVD, Austin, TX","1200 Barbara Jordan Blvd, Austin, TX 78723, USA",30.3065456,-97.7081098
"4700 E RIVERSIDE DR, Austin, TX","4700 E Riverside Dr, Austin, TX 78741, USA",30.233125,-97.718251
"1000 CLAYTON LN, Austin, TX","1000 Clayton Ln, Austin, TX 78723, USA",30.319963,-97.70311900000002
"8300 N IH 35 SVRD SB, Austin, TX","8300 I-35, Austin, TX 78753, USA",30.3460143,-97.6971367
"500 E 8TH ST, Austin, TX","500 E 8th St, Austin, TX 78701, USA",30.268881,-97.737252
"2700 E 7TH ST, Austin, TX","2700 E 7th St, Austin, TX 78702, USA",30.2608384,-97.7112276
"12400 LAMPLIGHT VILLAGE AVE, Austin, TX","12400 Lamplight Village Ave, Austin, TX 78758, USA",30.4137194,-97.69735209999999
"9500 S IH 35 SVRD SB, Austin, TX","9500 S Ih 35 Sb Service Rd, Bldg F, Austin, TX 78748, United States",30.162851,-97.791557
"2400 S CONGRESS AVE, Austin, TX","2400 S Congress Ave, Austin, TX 78704, USA",30.2386892,-97.7551668
"2300 DOUGLAS ST, Austin, TX","2300 Douglas St, Austin, TX 78741, USA",30.2300161,-97.7316305
"8900 N LAMAR BLVD, Austin, TX","8900 N Lamar Blvd, Austin, TX 78753, USA",30.3582815,-97.7004114
"1600 WICKERSHAM LN, Austin, TX","1600 Wickersham Ln, Austin, TX 78741, USA",30.2364768,-97.718735
"700 E 7TH ST, Austin, TX","700 E 7th St, Austin, TX 78701, USA",30.2674769,-97.7349654
"1500 RUTHERFORD LN, Austin, TX","1500 Rutherford Ln, Austin, TX 78754, USA",30.3372491,-97.68311469999999
"12100 N IH 35 SVRD NB, Austin, TX","12100 N Interstate 35 Frontage Rd, Austin, TX 78753, USA",30.3879623,-97.67354999999999
"00 RAINEY ST, Austin, TX","0 Rainey St, Austin, TX 78701, USA",30.25578759999999,-97.7398669
"1500 FARO DR, Austin, TX","1500 Faro Dr, Austin, TX 78741, USA",30.2329844,-97.7141819
"7100 N IH 35 SVRD SB, Austin, TX","7100 N Interstate Hwy 35, Austin, TX 78752, USA",30.332461,-97.70598700000001
"600 CONGRESS AVE, Austin, TX","600 Congress Ave, Austin, TX 78701, USA",30.268573,-97.74299359999999
"8600 N LAMAR BLVD, Austin, TX","8600 N Lamar Blvd, Austin, TX 78753, USA",30.3546103,-97.70469279999999
"1000 SPRINGDALE RD, Austin, TX","1000 Springdale Rd, Austin, TX 78702, USA",30.2655704,-97.6955186
"12100 METRIC BLVD, Austin, TX","12100 Metric Blvd, Austin, TX 78758, USA",30.4034718,-97.7002612
"5800 TECHNI CENTER DR, Austin, TX","5800 Techni Center Dr, Austin, TX 78721, USA",30.2797067,-97.6699519
"13200 N FM 620 RD NB, Austin, TX","N FM 620, Austin, TX, USA",30.4385115,-97.837192
"600 NECHES ST, Austin, TX","600 Neches St, Austin, TX 78701, USA",30.2667911,-97.7382439
"6100 FAIRWAY ST, Austin, TX","6100 Fairway St, Austin, TX 78741, USA",30.229417,-97.70393179999999
"1900 E RIVERSIDE DR, Austin, TX","1900 E Riverside Dr, Austin, TX 78741, USA",30.243012,-97.728219
"2100 BURTON DR, Austin, TX","2100 Burton Dr, Austin, TX 78741, USA",30.2326474,-97.7323825
"500 CANYON RIDGE DR, Austin, TX","500 W Canyon Ridge Dr, Austin, TX 78753, USA",30.4068236,-97.6729119
"8800 N IH 35 SVRD SB, Austin, TX","8800 N Interstate Hwy 35, Austin, TX 78753, USA",30.3523179,-97.6926844
"600 N IH 35 SVRD NB, Austin, TX","13000 I-35 #600, Austin, TX 78753, USA",30.4120248,-97.67587400000001
"12000 DESSAU RD, Austin, TX","12000 Dessau Rd, Austin, TX 78754, USA",30.3795233,-97.654524
"5300 N IH 35 SVRD NB, Austin, TX","5300 N Interstate Hwy 35, Austin, TX 78751, USA",30.3122149,-97.70952729999999
"1400 E RUNDBERG LN, Austin, TX","1400 E Rundberg Ln, Austin, TX 78753, USA",30.3524048,-97.6783732
"2100 WICKERSHAM LN, Austin, TX","2100 Wickersham Ln, Austin, TX 78741, USA",30.232136,-97.72089989999999
"2500 ELMONT DR, Austin, TX","2500 Elmont Dr, Austin, TX 78741, USA",30.239899,-97.72082759999999
"600 BARWOOD PARK, Austin, TX","600 Barwood Park, Austin, TX 78753, USA",30.3493598,-97.6964283
"6400 SPRINGDALE RD, Austin, TX","6400 Springdale Rd, Austin, TX 78723, USA",30.307592,-97.6696197
"9000 NORTHGATE BLVD, Austin, TX","9000 Northgate Blvd, Austin, TX 78758, USA",30.3690956,-97.71743719999999
"1600 RUTLAND DR, Austin, TX","1600 Rutland Dr, Austin, TX 78758, USA",30.3711784,-97.7094702
"2200 E RIVERSIDE DR, Austin, TX","2200 E Riverside Dr, Austin, TX 78741, USA",30.239738,-97.72574999999999
"5400 N IH 35 SVRD NB, Austin, TX","5400 N Interstate Hwy 35, Austin, TX 78723, USA",30.3146134,-97.705692
"1600 ROYAL CREST DR, Austin, TX","1600 Royal Crest Dr, Austin, TX 78741, USA",30.23972,-97.730959
"1700 RUTLAND DR, Austin, TX","1700 Rutland Dr, Austin, TX 78758, USA",30.3748478,-97.7115165
"13600 N IH 35 SVRD NB, Austin, TX","8221 I-35, Austin, TX 78753, USA",30.34454,-97.695882
"400 RALPH ABLANEDO DR, Austin, TX","400 Ralph Ablanedo Dr, Austin, TX 78748, USA",30.1747581,-97.7935485
"2700 S IH 35 SVRD NB, Austin, TX","2700 S IH 35 Frontage Rd, Austin, TX 78704, USA",30.2295983,-97.7446016
"1800 BURTON DR, Austin, TX","1800 Burton Dr, Austin, TX 78741, USA",30.235956,-97.72904609999999
"4400 E OLTORF ST, Austin, TX","4400 E Oltorf St, Austin, TX 78741, USA",30.2274991,-97.7278293
"4500 E RIVERSIDE DR, Austin, TX","4500 E Riverside Dr, Austin, TX 78741, USA",30.2324663,-97.7204632
"5600 N IH 35 SVRD NB, Austin, TX","N Interstate Hwy 35, Austin, TX, USA",30.3733721,-97.6785463
"9500 N LAMAR BLVD, Austin, TX","9500 N Lamar Blvd, Austin, TX 78753, USA",30.364534,-97.69672899999999
"1800 E STASSNEY LN, Austin, TX","1800 E Stassney Ln, Austin, TX 78744, USA",30.1979,-97.76142499999999
"800 E RUNDBERG LN, Austin, TX","800 E Rundberg Ln, Austin, TX 78753, USA",30.3579348,-97.6874687
"700 NECHES ST, Austin, TX","700 Neches St, Austin, TX 78701, USA",30.2677279,-97.7379089
"500 E 6TH ST, Austin, TX","500 E 6th St, Austin, TX 78701, USA",30.26705119999999,-97.7379995
"700 E BEN WHITE BLVD EB, Austin, TX","500 E Ben White Blvd #1000, Austin, TX 78704, USA",30.2214658,-97.7567376
"5700 MANOR RD, Austin, TX","5700 Manor Rd, Austin, TX 78723, USA",30.3045683,-97.6812715
"10900 LAKELINE MALL DR, Austin, TX","10900 Lakeline Mall Dr, Austin, TX 78717, USA",30.4763571,-97.7967434
"6500 BLUFF SPRINGS RD, Austin, TX","6500 Bluff Springs Rd, Austin, TX 78752, USA",30.1905237,-97.7668788
"1800 E 51ST ST, Austin, TX","1800 E 51st St, Austin, TX 78723, USA",30.3025521,-97.69723049999999
"6600 ELM CREEK DR, Austin, TX","6600 Elm Creek Dr, Austin, TX 78744, USA",30.1873571,-97.76371110000001
"700 W WILLIAM CANNON DR, Austin, TX","700 W William Cannon Dr, Austin, TX 78745, USA",30.1977474,-97.7878791
"5800 SWEENEY CIR, Austin, TX","5800 Sweeney Cir, Austin, TX 78723, USA",30.304908,-97.68001369999999
"9100 NORTH PLZ, Austin, TX","9100 North Dr, Austin, TX 78753, USA",30.3581566,-97.694177
"800 E SLAUGHTER LN, Austin, TX","800 E Slaughter Ln, Austin, TX 78744, USA",30.1595118,-97.7764303
"800 E WILLIAM CANNON DR, Austin, TX","800 E William Cannon Dr, Austin, TX 78745, USA",30.1913899,-97.77175460000001
"900 E 32ND ST, Austin, TX","900 E 32nd St, Austin, TX 78705, USA",30.2909521,-97.7269429
"9200 NORTH PLZ, Austin, TX","9200 North Dr, Austin, TX 78753, USA",30.3589584,-97.69343769999999
"11400 N IH 35 SVRD NB, Austin, TX","11400 I-35, Austin, TX 78753, USA",30.378789,-97.67574100000002
